1,1,424.8,234.4,26.1,75.5,0.91,1,-1,-1
1,2,388.9,243.6,26.0,66.7,0.90,1,-1,-1
1,3,543.6,230.2,12.2,43.6,0.88,1,-1,-1
1,4,112.6,243.5,19.5,23.4,0.80,1,-1,-1
1,5,543.8,213.8,8.9,21.9,0.76,1,-1,-1
1,6,18.7,242.7,11.3,22.5,0.75,1,-1,-1
2,1,421.6,232.1,26.9,78.8,0.91,1,-1,-1
2,2,384.5,244.1,24.2,67.8,0.89,1,-1,-1
2,3,543.5,230.4,12.0,41.9,0.86,1,-1,-1
2,4,116.5,244.5,17.8,22.3,0.82,1,-1,-1
2,6,20.0,242.9,11.0,22.3,0.78,1,-1,-1
3,1,417.9,231.1,28.7,80.6,0.92,1,-1,-1
3,2,377.2,243.0,23.3,70.1,0.90,1,-1,-1
3,3,543.2,229.1,12.3,42.9,0.86,1,-1,-1
3,4,118.1,243.7,18.2,21.9,0.82,1,-1,-1
3,8,21.2,243.3,13.0,22.6,0.78,1,-1,-1
4,1,415.9,232.4,27.6,83.3,0.92,1,-1,-1
4,2,369.3,243.9,25.5,71.0,0.91,1,-1,-1
4,3,544.0,230.5,11.7,40.6,0.86,1,-1,-1
4,4,121.3,243.8,18.1,22.2,0.80,1,-1,-1
4,8,22.9,242.7,11.8,23.0,0.82,1,-1,-1
5,1,414.0,231.0,28.2,85.0,0.92,1,-1,-1
5,2,364.6,243.8,26.3,71.7,0.90,1,-1,-1
5,3,544.0,229.3,11.7,41.7,0.86,1,-1,-1
5,4,124.1,244.2,19.2,21.2,0.80,1,-1,-1
5,8,23.7,242.7,12.1,22.9,0.78,1,-1,-1
6,1,411.4,230.7,28.5,88.7,0.92,1,-1,-1
6,2,359.8,244.5,27.6,72.5,0.90,1,-1,-1
6,3,544.0,230.4,11.3,40.2,0.86,1,-1,-1
6,4,128.9,243.9,20.1,25.2,0.77,1,-1,-1
6,8,27.0,243.3,11.1,22.6,0.80,1,-1,-1
7,1,407.0,233.3,28.8,90.2,0.92,1,-1,-1
7,2,351.9,245.5,26.9,75.0,0.91,1,-1,-1
7,3,543.2,230.0,11.5,39.4,0.86,1,-1,-1
7,4,133.0,244.9,18.9,21.1,0.82,1,-1,-1
7,8,28.1,242.5,11.2,23.4,0.82,1,-1,-1
8,1,400.9,230.8,30.9,93.9,0.92,1,-1,-1
8,2,341.6,244.4,28.1,76.9,0.91,1,-1,-1
8,3,543.0,229.9,11.6,38.6,0.86,1,-1,-1
8,4,135.0,244.2,21.6,42.6,0.82,1,-1,-1
8,8,28.8,243.2,11.9,21.8,0.82,1,-1,-1
9,1,396.4,229.1,32.7,97.4,0.93,1,-1,-1
9,2,333.1,246.9,30.3,76.3,0.91,1,-1,-1
9,3,543.2,230.6,11.4,37.1,0.87,1,-1,-1
9,4,137.5,243.1,21.0,45.7,0.84,1,-1,-1
9,8,29.3,243.5,12.6,22.6,0.84,1,-1,-1
10,1,391.7,231.9,33.7,97.4,0.94,1,-1,-1
10,2,325.8,244.0,28.1,80.6,0.92,1,-1,-1
10,3,543.1,229.2,11.5,38.3,0.86,1,-1,-1
10,4,141.9,243.6,23.1,46.7,0.85,1,-1,-1
10,8,30.3,242.8,12.8,23.8,0.83,1,-1,-1
11,1,388.1,228.0,33.4,103.4,0.92,1,-1,-1
11,2,314.9,245.6,33.5,81.3,0.92,1,-1,-1
11,3,543.0,230.2,11.2,36.6,0.87,1,-1,-1
11,4,145.7,243.6,22.8,48.0,0.83,1,-1,-1
11,8,31.6,243.4,13.1,23.5,0.81,1,-1,-1
11,16,519.1,215.9,7.6,13.0,0.71,1,-1,-1
12,1,381.3,227.8,36.1,105.6,0.92,1,-1,-1
12,2,308.9,244.8,31.8,84.6,0.92,1,-1,-1
12,3,542.4,229.8,11.5,36.4,0.87,1,-1,-1
12,4,150.9,242.6,23.0,47.9,0.85,1,-1,-1
12,8,34.2,243.6,13.1,22.9,0.83,1,-1,-1
12,17,517.4,215.2,8.1,14.3,0.73,1,-1,-1
13,1,376.5,230.4,34.1,108.2,0.92,1,-1,-1
13,2,304.3,244.2,27.5,87.0,0.91,1,-1,-1
13,3,542.4,229.1,11.4,36.8,0.87,1,-1,-1
13,4,153.8,243.8,23.3,48.0,0.87,1,-1,-1
13,8,36.0,243.1,12.9,23.2,0.83,1,-1,-1
14,1,370.4,226.8,34.0,114.4,0.92,1,-1,-1
14,2,296.7,245.6,30.6,89.1,0.92,1,-1,-1
14,3,543.0,229.8,10.9,35.2,0.87,1,-1,-1
14,4,156.6,243.5,25.6,47.7,0.87,1,-1,-1
14,8,37.3,243.5,14.4,23.2,0.83,1,-1,-1
14,19,513.3,216.5,7.1,13.7,0.61,1,-1,-1
15,1,364.3,226.4,35.0,116.7,0.93,1,-1,-1
15,2,287.4,244.9,30.4,90.9,0.91,1,-1,-1
15,3,543.3,229.3,10.7,35.7,0.87,1,-1,-1
15,4,159.6,242.9,25.8,48.9,0.87,1,-1,-1
15,8,38.5,243.6,13.5,23.8,0.84,1,-1,-1
15,19,512.7,215.7,7.6,14.7,0.75,1,-1,-1
16,1,354.8,230.2,37.8,117.9,0.92,1,-1,-1
16,2,275.8,244.0,38.7,95.7,0.92,1,-1,-1
16,3,543.4,229.3,10.7,35.3,0.87,1,-1,-1
16,4,165.9,244.7,25.1,47.7,0.86,1,-1,-1
16,8,41.1,243.3,12.3,24.1,0.83,1,-1,-1
16,19,511.7,216.3,6.2,14.1,0.79,1,-1,-1
17,1,348.2,228.4,37.5,121.9,0.91,1,-1,-1
17,2,268.5,243.8,38.4,99.3,0.92,1,-1,-1
17,3,543.4,229.6,10.7,34.6,0.87,1,-1,-1
17,4,171.2,243.8,25.5,48.6,0.87,1,-1,-1
17,8,42.5,243.6,12.9,23.6,0.85,1,-1,-1
17,19,510.1,216.1,6.3,13.8,0.78,1,-1,-1
18,1,335.2,225.1,42.5,127.4,0.92,1,-1,-1
18,2,262.2,244.8,33.2,99.4,0.93,1,-1,-1
18,3,544.0,229.3,10.4,34.7,0.88,1,-1,-1
18,4,175.0,242.6,26.1,51.0,0.87,1,-1,-1
18,8,44.7,244.0,13.4,23.2,0.85,1,-1,-1
18,19,508.8,215.7,7.2,11.8,0.45,1,-1,-1
